productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack3
83655,Articuno ex - 032 (EX Collector's Window Tins),Articuno ex 032 EX Collectors Window Tins,https://tcgplayer-cdn.tcgplayer.com/product/83655_200w.jpg,3,1423,https://cpt.tcgcsv.com/7tH,2024-04-23T20:38:33.107,1,032,Promo,Water,100,Basic,"<strong>Poké-BODY — Synchronized Lift</strong>
<br>
As long as you have Zapdos ex and Moltres ex in play, the Retreat Cost for Articuno ex is 0.","[1] Ice Gift (10)
<br>You may move a Water Energy card attached to Articuno ex to 1 of your Pokémon.","[1WW] Freezing Wing (50)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",M,2,233.07,1095.0,1494.48,191.04,,Holofoil,,
83784,Beldum - 022 (e-League),Beldum 022 e League,https://tcgplayer-cdn.tcgplayer.com/product/83784_200w.jpg,3,1423,https://cpt.tcgcsv.com/JwH,2024-04-23T20:32:05.817,1,022,Promo,Metal,50,Basic,"<strong>Poké-POWER — Magnetic Call</strong>
<br>
Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, search your deck for a Metal Basic Pokémon and put it onto your Bench. Shuffle your deck afterward. This power can't be used if Beldum is affected by a Special Condition.","[1M] Metal Charge (30)
<br>Put 1 damage counter on Beldum.",,R,2,3.48,7.24,69.9,5.78,,Normal,G,
84145,Celebi - 029 (EX Collector's Carry Tin),Celebi 029 EX Collectors Carry Tin,https://tcgplayer-cdn.tcgplayer.com/product/84145_200w.jpg,3,1423,https://cpt.tcgcsv.com/WGH,2024-04-23T20:37:51.477,1,029,Promo,Grass,50,Basic,,"[1G] Leaf Slice (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",,R,1,18.98,38.0,300.0,67.86,,Holofoil,,
84163,Championship Arena - 028 (2005 World Championships),Championship Arena 028 2005 World Championships,https://tcgplayer-cdn.tcgplayer.com/product/84163_200w.jpg,3,1423,https://cpt.tcgcsv.com/hHH,2024-04-23T20:37:32.4,1,028,Promo,Stadium,,,"<em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>
<br>
At the end of each player's turn, if that player has 8 or more cards in his or her hand, that player discards a number of cards until that player has 7 cards left in his or her hand.",,,,,,,,,,,,
84293,Chimecho - 024 (e-League),Chimecho 024 e League,https://tcgplayer-cdn.tcgplayer.com/product/84293_200w.jpg,3,1423,https://cpt.tcgcsv.com/TKH,2024-04-23T20:33:09.317,1,024,Promo,Psychic,70,Basic,,"[1] Resonate
<br>Your opponent switches each Defending Pokémon with his or her Benched Pokémon. If your opponent has only 1 Benched Pokémon, you choose the Defending Pokémon to switch.","[2] Healing Sound
<br>Remove 3 damage counters from each of your Active Pokémon. Each Defending Pokémon is now Asleep.",P,1,19.99,79.9,96.94,9.95,,Normal,,
84399,Combusken - 009 (e-League) [Winner],Combusken 009 e League Winner,https://tcgplayer-cdn.tcgplayer.com/product/84399_200w.jpg,3,1423,https://cpt.tcgcsv.com/_MH,2024-04-23T18:16:49.99,1,009,Promo,Fire,70,Stage 1,,[R] Flare (20),"[3] Double Kick (40x) 
<br>Flip 2 coins. This attack does 40 damage times the number of heads.",W,1,79.9,515.0,967.88,107.5,,Normal,,
85523,Flygon - 025 (e-League),Flygon 025 e League,https://tcgplayer-cdn.tcgplayer.com/product/85523_200w.jpg,3,1423,https://cpt.tcgcsv.com/tdJ,2024-04-23T20:33:40.35,1,025,Promo,Colorless,120,Stage 2,,"[2] Sand Pit (20)
<br>The Defending Pokémon can't retreat until the end of your opponent's next turn.","[2GL] Dragonbreath (80)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing.",C,2,51.41,242.0,411.98,39.61,,Normal,LF,
85928,Groudon ex - 002 (Nintendo Power Magazine),Groudon ex 002 Nintendo Power Magazine,https://tcgplayer-cdn.tcgplayer.com/product/85928_200w.jpg,3,1423,https://cpt.tcgcsv.com/BnJ,2024-04-23T13:40:22.467,1,002,Promo,Fighting,120,Basic,"When Pokémon-ex has been Knocked Out, your opponent takes 2 Prize cards.","[FFFF] Major Earthquake (80)
<br>Discard a Fighting Energy attached to Groudon ex. Does 10 damage to your Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>",,G,3,24.17,35.33,270.0,31.15,,Normal,,
85928,Groudon ex - 002 (Nintendo Power Magazine),Groudon ex 002 Nintendo Power Magazine,https://tcgplayer-cdn.tcgplayer.com/product/85928_200w.jpg,3,1423,https://cpt.tcgcsv.com/BnJ,2024-04-23T13:40:22.467,1,002,Promo,Fighting,120,Basic,"When Pokémon-ex has been Knocked Out, your opponent takes 2 Prize cards.","[FFFF] Major Earthquake (80)
<br>Discard a Fighting Energy attached to Groudon ex. Does 10 damage to your Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>",,G,3,299.99,299.99,299.99,179.99,,Holofoil,,
85931,Groudon ex - 038 (EX Collector's Tins),Groudon ex 038 EX Collectors Tins,https://tcgplayer-cdn.tcgplayer.com/product/85931_200w.jpg,3,1423,https://cpt.tcgcsv.com/FnJ,2024-04-23T20:44:03.16,1,038,Promo,Fighting,100,Basic,"<strong>Poké-BODY — Frenzy</strong>
<br>
As long as your opponent has Kyogre, Kyogre ex, Rayquaza, or Rayquaza ex in play, Groudon ex's attacks do 40 more damage to the Defending Pokémon <em>(before applying Weakness and Resistance)</em>.","[1F] Mix-Up (30)
<br>Flip a coin. If heads, your opponent discards the top card from his or her deck.","[2F] Earthquake (60)
<br>Does 10 damage to each of your Benched Pokémon.  <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",W,2,229.98,404.11,4289.38,214.5,229.99,Holofoil,,
